Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
time,Time,string,8,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
logid,Log ID,string,10,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
type,Log Type,string,16,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
subtype,Log Subtype,string,20,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
level,Log Level,string,11,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
devid,Device ID,string,16,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
vd,Virtual Domain Name,string,32,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
eventtime,Event time,uint64,20,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
tz,Time zone,string,5,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
logdesc,Log Description,string,4096,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
msg,Log Message,string,4096,22110 - LOG_ID_SPARE_BLOCK_LOW,22110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,7.2.5
