Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
time,Time,string,8,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
logid,Log ID,string,10,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
type,Log Type,string,16,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
subtype,Log Subtype,string,20,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
level,Log Level,string,11,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
devid,Device ID,string,16,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
vd,Virtual Domain Name,string,32,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
eventtime,Event time,uint64,20,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
tz,Time zone,string,5,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
logdesc,Log Description,string,4096,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
action,Policy Action,string,65,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
msg,Log Message,string,4096,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
addrgrp,,string,36,43716 - LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,43716,LOG_ID_EVENT_WIRELESS_ADDRGRP_MAX_FW_ADDR,Wireless addrgrp reached firewal address maximum number,Event,wireless,Warning,7.2.8
